node_index,x_m,y_m,z_m,zone_id,response_external_C_per_1SD,response_meeting_C_per_1SD,response_server_C_per_1SD,response_working_C_per_1SD
0,0.25,0.25,0.5,4,0.3790857088776783,1.096177674153825,1.9832471253095347,1.2276857512834247
1,0.25,0.75,0.5,4,0.40546647310204625,1.1211039552084843,2.0229962220333353,1.265596663927599
2,0.25,1.25,0.5,4,0.428191270776391,1.1180395962774186,2.0574546055068645,1.2583333231886344
3,0.25,1.75,0.5,4,0.4408592268390493,1.1323271953319838,2.0881114987884755,1.2548057719030274
4,0.25,2.25,0.5,4,0.4357214589829689,1.1408713255120948,2.109907080495919,1.2910328712391497
5,0.25,2.75,0.5,4,0.4549671971436081,1.1297975789115795,2.1346965620503036,1.321438254169207
6,0.25,3.25,0.5,4,0.4607807389501975,1.1143386698463884,2.1128142164883625,1.3568670518269517
7,0.25,3.75,0.5,4,0.45923402227152943,1.122901799553188,2.1243731663789887,1.419547894480123
8,0.25,4.25,0.5,3,0.4865394492130218,1.1435456209086878,2.1156171861720985,1.455975162564539
9,0.25,4.75,0.5,3,0.4899187602875095,1.156951665439788,2.1034790734721778,1.4777989754413892
10,0.25,5.25,0.5,3,0.4941609748678569,1.1790863571860761,2.0782465649851405,1.4815427123064153
11,0.25,5.75,0.5,3,0.4954055624677555,1.2009482721175055,2.06184894495679,1.4768217646450152
12,0.25,6.25,0.5,3,0.4809040657980491,1.1940409169819561,2.031184273937713,1.4580781034435557
13,0.25,6.75,0.5,3,0.46928095170665246,1.1862489468529573,2.001914893521524,1.4576858504850763
14,0.25,7.25,0.5,3,0.45889920089465397,1.185585679455735,1.984385908786358,1.4691882994542882
15,0.25,7.75,0.5,3,0.44830890108517013,1.1857950148906096,1.981823952879729,1.4689550063568368
16,0.25,8.25,0.5,3,0.43844801430999913,1.1790088607327365,1.9772567899148008,1.4607427781438307
17,0.25,8.75,0.5,3,0.43157275350767804,1.1358971979861106,1.9623384990187118,1.4269716823713654
18,0.75,0.25,0.5,4,0.396072522147628,1.1302015314243732,2.019528350318527,1.252276108934449
19,0.75,0.75,0.5,4,0.4471292818997958,1.1464394072330968,2.00586199436025,1.2731883412842888
20,0.75,1.75,0.5,4,0.47733078757302344,1.1483672281288042,2.106393465972041,1.284668800699014
21,0.75,2.25,0.5,4,0.46127857476819123,1.1599866248457427,2.1109518305651163,1.3175507313912718
22,0.75,2.75,0.5,4,0.45303282067241823,1.152750227997723,2.1273892162605565,1.3494189567274533
23,0.75,3.25,0.5,4,0.44868831526603375,1.110028467431268,2.1259867468097067,1.4112959445135829
24,0.75,3.75,0.5,3,0.43954394452145135,1.0933593516497047,2.0759825998024146,1.4951987178059039
25,0.75,4.25,0.5,3,0.46197039975674065,1.119275944687957,2.0792728215057625,1.539457335074988
26,0.75,4.75,0.5,3,0.4821644808927033,1.1320725543750139,2.073666401013071,1.553175730350175
27,0.75,5.25,0.5,3,0.4973854657655296,1.1445556832891635,2.0600815755661603,1.568702581857714
28,0.75,5.75,0.5,3,0.504895856173985,1.1657920656721306,2.063878970839208,1.5957005143821248
29,0.75,6.25,0.5,3,0.5078382916653162,1.1741132652609612,2.066194039552066,1.6188245162960089
30,0.75,6.75,0.5,3,0.5086857221876866,1.1731452349945515,2.064419289926037,1.6631712819618247
31,0.75,7.25,0.5,3,0.5021061922759985,1.1558235845998404,2.0560939429284577,1.764007242363016
32,0.75,7.75,0.5,3,0.4756759948225892,1.1517651849743615,2.0470267259478176,1.855864065459883
33,0.75,8.25,0.5,3,0.4361007416203647,1.2052368101407005,1.9982314099202614,1.51644870989533
34,0.75,8.75,0.5,3,0.42538245798211044,1.1837076684728594,1.9670966670148786,1.4880722485644338
35,1.25,0.25,0.5,4,0.4153552293787054,1.1351605817318384,2.026758327881146,1.2399890318384958
36,1.25,1.75,0.5,4,0.4942418324116966,1.137946305628229,2.100624855713029,1.3055124407938814
37,1.25,2.25,0.5,4,0.47450696937766257,1.1332675170852171,2.102560314171721,1.3416444923144475
38,1.25,2.75,0.5,4,0.4643215529162754,1.132392157159783,2.1034349057600807,1.3871934941388748
39,1.25,3.25,0.5,4,0.4438314115802935,1.088202065341849,2.1126770384114404,1.4428731559171022
40,1.25,3.75,0.5,3,0.44150131834665735,1.0475367893771714,2.1561403048962284,1.557470281896216
41,1.25,8.25,0.5,3,0.38216567664402473,1.2682763216491835,1.9709542443260168,1.6474676384889153
42,1.25,8.75,0.5,1,0.40757842864009064,1.1896441854007178,1.9688320543275175,1.492608383467782
43,1.75,0.25,0.5,4,0.4527669261346263,1.1338099223956832,2.0307990266718985,1.2430622114193899
44,1.75,0.75,0.5,4,0.4878676372341618,1.1383359619157403,2.0368814119635217,1.2858096791934845
45,1.75,1.25,0.5,4,0.4830760256634216,1.1336311792840466,2.057250576800629,1.2869115873397667
46,1.75,1.75,0.5,4,0.48223442573718256,1.141537354247118,2.0912061375584994,1.2903216156780308
47,1.75,2.25,0.5,4,0.4792790690716597,1.1223410331823942,2.1071358167243743,1.3287774184510261
48,1.75,2.75,0.5,4,0.46764945805067853,1.1103473603135492,2.110527068434659,1.3569719495124124
49,1.75,3.25,0.5,4,0.45864466037307816,1.1077813116835549,2.1229374905022684,1.3920679120331056
50,1.75,3.75,0.5,4,0.42918223714971887,1.1133428507339376,2.107023411673647,1.4412424100830181
51,1.75,8.25,0.5,3,0.38757516774301876,1.2397921184916452,1.989646341010506,1.5894979630666333
